id,station,route
odpt.Station:TokyoMetro.Ginza.Toranomon,虎ノ門,銀座線
odpt.Station:TokyoMetro.Ginza.Nihombashi,日本橋,銀座線
odpt.Station:TokyoMetro.Ginza.Mitsukoshimae,三越前,銀座線
odpt.Station:TokyoMetro.Hanzomon.AoyamaItchome,青山一丁目,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Otemachi,大手町,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Oshiage,押上〈スカイツリー前〉,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.OmoteSando,表参道,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.KiyosumiShirakawa,清澄白河,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Kinshicho,錦糸町,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Kudanshita,九段下,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Shibuya,渋谷,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Jimbocho,神保町,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Suitengumae,水天宮前,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Sumiyoshi,住吉,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Nagatacho,永田町,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Hanzomon,半蔵門,半蔵門線
odpt.Station:TokyoMetro.Hanzomon.Mitsukoshimae,三越前,半蔵門線
odpt.Station:TokyoMetro.Namboku.AkabaneIwabuchi,赤羽岩淵,南北線
odpt.Station:TokyoMetro.Namboku.AzabuJuban,麻布十番,南北線
odpt.Station:TokyoMetro.Namboku.Iidabashi,飯田橋,南北線
odpt.Station:TokyoMetro.Namboku.Ichigaya,市ケ谷,南北線
odpt.Station:TokyoMetro.Namboku.Oji,王子,南北線
odpt.Station:TokyoMetro.Namboku.OjiKamiya,王子神谷,南北線
odpt.Station:TokyoMetro.Namboku.Korakuen,後楽園,南北線
odpt.Station:TokyoMetro.Namboku.Komagome,駒込,南北線
odpt.Station:TokyoMetro.Namboku.Shimo,志茂,南北線
odpt.Station:TokyoMetro.Namboku.Shirokanedai,白金台,南北線
odpt.Station:TokyoMetro.Namboku.ShirokaneTakanawa,白金高輪,南北線
odpt.Station:TokyoMetro.Namboku.TameikeSanno,溜池山王,南北線
odpt.Station:TokyoMetro.Namboku.Todaimae,東大前,南北線
odpt.Station:TokyoMetro.Namboku.Nagatacho,永田町,南北線
odpt.Station:TokyoMetro.Namboku.Nishigahara,西ケ原,南北線
odpt.Station:TokyoMetro.Namboku.HonKomagome,本駒込,南北線
odpt.Station:TokyoMetro.Namboku.Meguro,目黒,南北線
odpt.Station:TokyoMetro.Namboku.Yotsuya,四ツ谷,南北線
odpt.Station:TokyoMetro.Namboku.RoppongiItchome,六本木一丁目,南北線
odpt.Station:TokyoMetro.Yurakucho.Iidabashi,飯田橋,有楽町線
